POSIXct,Date,Time,CAC40,DAX,Spread,Price_Ratio
2016/5/4 17:37,2016/5/4,17:37:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:38,2016/5/4,17:38:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:39,2016/5/4,17:39:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:40,2016/5/4,17:40:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:41,2016/5/4,17:41:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:42,2016/5/4,17:42:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:43,2016/5/4,17:43:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:44,2016/5/4,17:44:00,4324.23,9828.25,5504.02,0.43997965
2016/5/4 17:45,2016/5/4,17:45:00,4324.23,9828.25,5504.02,0.43997965
2016/5/5 17:37,2016/5/5,17:37:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:38,2016/5/5,17:38:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:39,2016/5/5,17:39:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:40,2016/5/5,17:40:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:41,2016/5/5,17:41:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:42,2016/5/5,17:42:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:43,2016/5/5,17:43:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:44,2016/5/5,17:44:00,4319.46,9851.86,5532.4,0.438441066
2016/5/5 17:45,2016/5/5,17:45:00,4319.46,9851.86,5532.4,0.438441066
2016/5/6 17:37,2016/5/6,17:37:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:38,2016/5/6,17:38:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:39,2016/5/6,17:39:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:40,2016/5/6,17:40:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:41,2016/5/6,17:41:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:42,2016/5/6,17:42:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:43,2016/5/6,17:43:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:44,2016/5/6,17:44:00,4301.24,9869.95,5568.71,0.435791468
2016/5/6 17:45,2016/5/6,17:45:00,4301.24,9869.95,5568.71,0.435791468
2016/5/9 17:37,2016/5/9,17:37:00,4322.81,9980.49,5657.68,0.433126029
2016/5/9 17:38,2016/5/9,17:38:00,4322.81,9980.49,5657.68,0.433126029
2016/5/9 17:39,2016/5/9,17:39:00,4322.81,9980.49,5657.68,0.433126029
2016/5/9 17:40,2016/5/9,17:40:00,4322.81,9980.49,5657.68,0.433126029
2016/5/9 17:41,2016/5/9,17:41:00,4322.81,9980.49,5657.68,0.433126029
